id,brand
001,ACURA
002,ALFA ROMEO
098,ASTON MARTIN
021,AUDI
119,AUTOMOVILES
156,BAC
149,BAIC
041,BENTLEY
684,BESTUNE
032,BMW
120,BUICK
677,BYD
045,CARTA COBERTURA
112,CBO
674,CHANGAN
675,CHIREY
040,CHRYSLER
044,CLASICOS
116,FAW
050,FERRARI
061,FIAT
072,FORD
114,FOTON
083,GENERAL MOTORS
094,HONDA
121,HYUNDAI
117,INFINITI
148,JAC
003,JAGUAR
035,JEEP
688,JETOUR
125,KIA
058,KTM
123,LAMBORGHINI
012,LAND ROVER
665,LEXUS
013,LOTUS
014,MASERATI
015,MAZDA
142,MCLAREN
016,MERCEDES BENZ
667,MG
017,MINI
018,MITSUBISHI
019,NISSAN
020,PEUGEOT
022,PIAGGIO
023,PORSCHE
043,REGULARIZADOS
024,RENAULT
042,ROLLS-ROCYE
025,ROVER
026,SAAB
134,SANA
027,SEAT
689,SKYWELL
028,SMART
037,SUBARU
029,SUZUKI
133,TESLA
030,TOYOTA
143,UAZ
031,VAM
033,VOLKSWAGEN
034,VOLVO
146,VUHL
